"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"KEGG_Osteoclast_differentiation%hsa04380",0.00232018561484919,0.0159148156629265,0.507332608472633,1.94911458692719,0,120,"LILRA6"|"TYROBP"|"SIRPB1"|"LCP2"|"SPI1"|"LILRA5"|"MAP2K6"|"TNF"|"LILRB2"|"JUND"|"STAT1"|"FCGR2A"|"IRF9"|"LILRA1"|"LILRB3"|"FCGR1A"|"NCF4"|"STAT2"|"FCGR3B"|"NCF2"|"FCGR3A"|"FCGR2B"|"IL1A"|"SOCS1"|"LILRB5"|"FCGR2C"|"SIRPA"|"LILRB4"|"LILRB1"|"IL1B"
"KEGG_Cell_adhesion_molecules%hsa04514",0.00233100233100233,0.0159148156629265,0.465408454890351,1.78090808835351,0,116,"SELL"|"HLA-DRB5"|"CLDN2"|"HLA-A"|"HLA-B"|"NTNG2"|"PTPRC"|"CD4"|"CDH2"|"HLA-C"|"HLA-DPA1"|"CNTN1"|"PDCD1LG2"|"VCAN"|"ITGAM"|"HLA-DQA1"|"CD80"|"NCAM2"|"SIGLEC1"|"CD86"|"HLA-DPB1"|"CLDN1"|"L1CAM"|"MPZ"|"HLA-DRA"|"SDC4"|"HLA-G"|"VCAM1"|"NRXN3"|"LRRC4C"|"CLDN7"|"CD274"|"HLA-DQB1"|"HLA-DOB"|"SELE"|"CLDN9"|"CD99"|"NRCAM"
"KEGG_Complement_and_coagulation_cascades%hsa04610",0.0025,0.0159148156629265,0.691665968607681,2.26777552183215,0,52,"F5"|"SERPINA1"|"C3AR1"|"C1QC"|"CR1"|"C5AR1"|"CD55"|"C1QB"|"FGG"|"CFB"|"C1S"|"FGA"|"ITGAM"|"ITGAX"|"C2"|"PLAUR"|"SERPING1"|"VSIG4"
"KEGG_Antigen_processing_and_presentation%hsa04612",0.0025,0.0159148156629265,0.577043537077733,1.94831220839977,0,58,"TNF"|"HLA-DRB5"|"CD74"|"IFI30"|"PSME3"|"HLA-A"|"HLA-B"|"CTSS"|"B2M"|"CD4"|"HLA-C"|"HLA-DPA1"|"HSPA1A"|"CALR"|"HLA-DQA1"|"CANX"|"HSPA1B"|"KLRC3"|"HLA-DPB1"
"KEGG_Toll-like_receptor_signaling_pathway%hsa04620",0.0024390243902439,0.0159148156629265,0.477136814054848,1.71003508312255,0,82,"LY96"|"CCL4"|"MAP2K6"|"TNF"|"TLR1"|"STAT1"|"CXCL10"|"LBP"|"IRF7"|"TLR7"|"TLR4"|"CCL3"|"MYD88"|"TLR2"|"TLR8"|"IL1B"|"CD80"|"CXCL11"|"CD86"
"KEGG_NOD-like_receptor_signaling_pathway%hsa04621",0.00225225225225225,0.0159148156629265,0.522924719224188,2.06845757150414,0,144,"OAS1"|"CASP5"|"OAS2"|"CARD16"|"OAS3"|"TNF"|"CASP4"|"GBP4"|"CARD17"|"CYBB"|"STAT1"|"GBP5"|"IRF9"|"CCL2"|"AIM2"|"GBP3"|"NAMPT"|"GBP1"|"IRF7"|"STAT2"|"CAMP"|"GABARAP"|"YWHAE"|"TLR4"|"MYD88"|"NLRP12"|"CASP1"|"GBP2"|"RHOA"|"IL1B"|"IL18"|"MEFV"|"RIPK2"|"NLRP3"|"CCL5"|"CHUK"|"CARD6"
"KEGG_Hematopoietic_cell_lineage%hsa04640",0.00247524752475248,0.0159148156629265,0.547297945601639,1.91469047223338,0,73,"CD37"|"CSF3R"|"TNF"|"HLA-DRB5"|"CR1"|"CD38"|"FCGR1A"|"CD55"|"CD4"|"HLA-DPA1"|"IL1A"|"IL1R2"|"ITGAM"|"HLA-DQA1"|"IL1B"|"IL11"|"HLA-DPB1"|"CD33"|"CD24"|"HLA-DRA"
"KEGG_Natural_killer_cell_mediated_cytotoxicity%hsa04650",0.00248138957816377,0.0159148156629265,0.52199862990438,1.87823575739759,0,87,"FCER1G"|"TNFSF10"|"TYROBP"|"RAC2"|"LCP2"|"PTK2B"|"TNF"|"CD48"|"HLA-A"|"HLA-B"|"FCGR3B"|"FCGR3A"|"HCST"|"HLA-C"|"PAK1"|"MICB"|"FAS"|"PTPN6"|"KLRC3"
"KEGG_Circadian_rhythm%hsa04710",0.00164744645799012,0.0159148156629265,-0.673933442839724,-1.97305614478169,0,28,"CRY2"|"PRKAB1"|"CSNK1D"|"CUL1"|"PER1"|"BHLHE40"|"PER3"|"PRKAG2"|"CSNK1E"|"FBXW11"|"FBXL3"|"RORA"|"PER2"|"ARNTL"
"KEGG_Thermogenesis%hsa04714",0.00173611111111111,0.0159148156629265,-0.37676866725219,-1.53237427065766,0,174,"MGLL"|"NDUFA13"|"PRKAB1"|"KDM1A"|"NDUFA11"|"RPS6KA2"|"ADCY6"|"NDUFS6"|"SDHA"|"NDUFB9"|"NDUFB10"|"MAP2K3"|"TSC1"|"CYC1"|"NDUFS2"|"SOS1"|"SMARCD1"|"SLC25A29"|"FGFR1"|"UQCRC1"|"UQCRC2"|"COX4I1"|"ACTL6A"|"PRKAG2"|"NDUFAB1"|"CREB3L2"|"SDHB"|"SMARCA4"|"COX5B"|"SMARCB1"|"RPS6KB2"|"CREB3"|"NDUFS8"|"KDM3A"|"NDUFB8"|"SMARCD2"|"NDUFS4"|"COX5A"|"ADCY9"|"ADCY4"|"UQCRFS1"|"NDUFS7"|"COA5"|"NDUFS5"|"NDUFB7"|"RPTOR"|"RPS6"|"TSC2"|"KDM3B"|"NDUFAF5"|"COX6C"|"COX7A1"|"MTOR"|"SMARCD3"|"NDUFA2"|"ADCY3"|"ARID1B"|"NDUFS3"|"NDUFV1"|"RHEB"|"NDUFA4L2"|"PPARG"|"CPT1A"|"COX19"|"COA1"|"MAPK12"|"NDUFA6"|"RPS6KA3"|"MLST8"|"PRKAB2"|"NDUFA10"|"SMARCC1"
"KEGG_Insulin_signaling_pathway%hsa04910",0.00174520069808028,0.0159148156629265,-0.426605056631014,-1.63651724550112,0,119,"RAF1"|"RAPGEF1"|"PRKAB1"|"EIF4E2"|"PPP1CA"|"PIK3R1"|"TSC1"|"TRIP10"|"PTPN1"|"PHKG2"|"SOS1"|"MAPK1"|"INSR"|"PRKAG2"|"AKT3"|"CBLB"|"RPS6KB2"|"IKBKB"|"INPP5A"|"PRKCZ"|"MAPK9"|"ELK1"|"HK1"|"AKT2"|"CALML4"|"SOCS4"|"MKNK2"|"CBL"|"SHC2"|"FOXO1"|"EIF4EBP1"|"CRK"|"SOCS2"|"RPTOR"|"RPS6"|"TSC2"|"PDPK1"|"GYS1"|"MTOR"|"PRKAR1B"|"PRKCI"|"PTPRF"|"RHEB"|"INPPL1"|"PCK2"|"MAPK8"|"MAP2K2"|"PPP1R3E"|"SHC1"|"MAPK3"|"PYGB"|"PPP1R3C"|"CRKL"|"PRKAB2"|"EIF4E"|"PHKA2"|"AKT1"|"SHC3"|"RPS6KB1"|"ACACA"|"PHKA1"|"PPP1R3B"
"KEGG_Non-alcoholic_fatty_liver_disease%hsa04932",0.0017636684303351,0.0159148156629265,-0.41740922724806,-1.62721502170849,0,132,"FOS"|"JUN"|"NDUFA13"|"PRKAB1"|"NDUFA11"|"ATF4"|"NDUFS6"|"SDHA"|"PIK3R1"|"NDUFB9"|"NDUFB10"|"MLXIP"|"CYC1"|"NDUFS2"|"UQCRC1"|"UQCRC2"|"INSR"|"COX4I1"|"CASP7"|"TRAF2"|"PRKAG2"|"NDUFAB1"|"SDHB"|"MLX"|"AKT3"|"COX5B"|"IKBKB"|"MAPK9"|"NDUFS8"|"ADIPOR2"|"RXRA"|"AKT2"|"NDUFB8"|"DDIT3"|"NDUFS4"|"PPARA"|"COX5A"|"UQCRFS1"|"NDUFS7"|"NDUFS5"|"NDUFB7"|"NR1H3"
"KEGG_Type_I_diabetes_mellitus%hsa04940",0.0025,0.0159148156629265,0.69421862420753,2.06606656950903,0,33,"TNF"|"HLA-DRB5"|"HLA-A"|"HLA-B"|"HLA-C"|"HLA-DPA1"|"IL1A"|"FAS"|"HLA-DQA1"|"PTPRN2"|"IL1B"|"CD80"|"CD86"|"HLA-DPB1"|"HLA-DRA"|"HLA-G"|"HLA-DQB1"|"HLA-DOB"
"KEGG_Parkinson_disease%hsa05012",0.00177935943060498,0.0159148156629265,-0.457124270268417,-1.87924304752519,0,195,"TUBB4B"|"MFN2"|"NDUFA13"|"PSMC3"|"PSMD3"|"SLC25A4"|"UBC"|"PSMC5"|"PSMB1"|"NDUFA11"|"PSMD2"|"ITPR1"|"TUBB6"|"ATF4"|"TUBA4A"|"UBE2J2"|"PSMB5"|"NDUFS6"|"DUSP1"|"SLC25A6"|"SDHA"|"NDUFB9"|"PSMC1"|"NDUFB10"|"UBE2G2"|"ADRM1"|"TUBA1C"|"CYC1"|"TUBA1A"|"NDUFS2"|"BCL2L1"|"PSMC6"|"PSMD6"|"PSMD4"|"KLC1"|"PSMD8"|"PSMD13"|"UQCRC1"|"UQCRC2"|"UBB"|"COX4I1"|"PSMB7"|"NDUFAB1"|"PSMA7"|"TUBA1B"|"SDHB"|"PSMB4"|"HTRA2"|"TRAP1"|"DAXX"|"ITPR3"|"COX5B"|"PLCG1"
"KEGG_Spinocerebellar_ataxia%hsa05017",0.00174216027874564,0.0159148156629265,-0.43519518258571,-1.6531657292514,0,113,"PSMC3"|"PSMD3"|"SLC25A4"|"NOP56"|"PSMC5"|"PSMB1"|"PSMD2"|"ITPR1"|"PSMB5"|"AFG3L2"|"WIPI1"|"SLC25A6"|"PIK3R1"|"PSMC1"|"WIPI2"|"ADRM1"|"KAT5"|"PSMC6"|"PSMD6"|"PSMD4"|"PSMD8"|"PSMD13"|"PSMB7"|"TRAF2"|"PSMA7"|"PSMB4"|"AMBRA1"|"ITPR3"|"AKT3"|"PLCB3"|"TBP"|"ULK1"|"MAPK9"|"PIK3R4"|"AKT2"|"ATXN1L"
"KEGG_Amphetamine_addiction%hsa05031",0.00166666666666667,0.0159148156629265,-0.594465540624049,-1.91136146173134,0,45,"FOS"|"FOSB"|"JUN"|"PPP3R1"|"ATF4"|"PPP1CA"|"ATF6B"|"CREB3L2"|"SIRT1"|"CREB3"|"PPP3CC"|"ARC"|"CALML4"|"CACNA1C"
"KEGG_Leishmaniasis%hsa05140",0.00239234449760766,0.0159148156629265,0.562972012527225,1.9688156923207,0,70,"TNF"|"CYBB"|"STAT1"|"HLA-DRB5"|"FCGR2A"|"CR1"|"FCGR1A"|"NCF4"|"FCGR3B"|"NCF2"|"FCGR3A"|"TLR4"|"HLA-DPA1"|"IL1A"|"MYD88"|"FCGR2C"|"TLR2"|"ITGAM"|"HLA-DQA1"|"PTPN6"|"IL1B"|"JAK2"|"HLA-DPB1"|"HLA-DRA"|"TGFB1"
"KEGG_Malaria%hsa05144",0.00244498777506113,0.0159148156629265,0.625874371072641,1.93433278958817,0,41,"TNF"|"CR1"|"CCL2"|"HBA1"|"TLR4"|"HBA2"|"MYD88"|"TLR2"|"IL1B"|"IL18"|"HBB"|"TGFB1"|"VCAM1"|"IL10"
"KEGG_Staphylococcus_aureus_infection%hsa05150",0.00249376558603491,0.0159148156629265,0.757553687766594,2.51997954338159,0,55,"FPR1"|"C3AR1"|"C1QC"|"HLA-DRB5"|"FCGR2A"|"FCAR"|"C5AR1"|"FCGR1A"|"C1QB"|"CAMP"|"FCGR3B"|"FGG"|"FCGR3A"|"FCGR2B"|"CFB"|"HLA-DPA1"|"C1S"|"FPR2"|"FCGR2C"|"KRT23"|"ITGAM"|"HLA-DQA1"|"C2"|"HLA-DPB1"|"DEFB1"|"HLA-DRA"|"PTAFR"
"KEGG_Tuberculosis%hsa05152",0.00226244343891403,0.0159148156629265,0.51056878200995,2.03879367270975,0,151,"CLEC4E"|"FCER1G"|"TNF"|"TLR1"|"STAT1"|"HLA-DRB5"|"FCGR2A"|"CR1"|"CLEC7A"|"CD74"|"FCGR1A"|"LBP"|"CTSS"|"CAMP"|"FCGR3B"|"ATP6V0C"|"FCGR3A"|"FCGR2B"|"TLR4"|"HLA-DPA1"|"IL1A"|"MYD88"|"FCGR2C"|"TLR2"|"ITGAM"|"HLA-DQA1"|"RHOA"|"ITGAX"|"LAMP2"|"IL1B"|"IL18"|"JAK2"|"RAB7A"|"HLA-DPB1"|"CD209"|"LSP1"|"RIPK2"
"KEGG_Hepatitis_C%hsa05160",0.00232558139534884,0.0159148156629265,0.538244038961918,2.07702821097253,0,126,"IFIT1"|"OAS1"|"EIF2AK2"|"MX2"|"OAS2"|"MX1"|"OAS3"|"DDX58"|"TNF"|"STAT1"|"IRF9"|"CXCL10"|"CLDN2"|"PSME3"|"RSAD2"|"IRF7"|"STAT2"|"YWHAZ"|"YWHAE"|"CFLAR"|"CDK4"|"TP53"|"FAS"
"KEGG_Measles%hsa05162",0.00233100233100233,0.0159148156629265,0.526775666165366,2.01573270696754,0,116,"IL2RG"|"OAS1"|"EIF2AK2"|"MX2"|"OAS2"|"MX1"|"OAS3"|"DDX58"|"STAT1"|"IRF9"|"IRF7"|"STAT2"|"JAK3"|"TLR7"|"IFIH1"|"FCGR2B"|"TLR4"|"HSPA1A"|"IL1A"|"CDK4"|"MYD88"|"TP53"|"FAS"|"TLR2"|"HSPA1B"|"EIF2AK1"|"IL1B"
"KEGG_Influenza_A%hsa05164",0.00227272727272727,0.0159148156629265,0.597163045502343,2.3422721061599,0,140,"OAS1"|"EIF2AK2"|"MX2"|"OAS2"|"MX1"|"OAS3"|"TNFSF10"|"TPSB2"|"DDX58"|"TNF"|"ACTB"|"STAT1"|"HLA-DRB5"|"IRF9"|"CCL2"|"CXCL10"|"RSAD2"|"IRF7"|"STAT2"|"TLR7"|"IFIH1"|"PML"|"RAB11B"|"TLR4"|"HLA-DPA1"|"TPSAB1"|"IL1A"|"NXT2"|"CDK4"|"MYD88"|"CASP1"|"HNRNPUL1"|"FAS"|"HLA-DQA1"|"IL1B"|"IL18"|"JAK2"|"TRIM25"|"HLA-DPB1"|"NLRP3"|"HLA-DRA"|"CCL5"|"CHUK"|"ADAR"
"KEGG_Epstein-Barr_virus_infection%hsa05169",0.00230414746543779,0.0159148156629265,0.409310190319725,1.66763184389775,0,176,"OAS1"|"EIF2AK2"|"OAS2"|"ISG15"|"OAS3"|"DDX58"|"MAP2K6"|"TNF"|"STAT1"|"HLA-DRB5"|"IRF9"|"LYN"|"CXCL10"|"HLA-A"|"HLA-B"|"IRF7"|"STAT2"|"JAK3"|"B2M"|"HLA-C"|"HLA-DPA1"|"CDK4"|"CCNA1"|"MYD88"|"TP53"|"CALR"|"CIR1"|"FAS"|"TLR2"|"HLA-DQA1"|"PSMD11"
"KEGG_Endometrial_cancer%hsa05213",0.00166389351081531,0.0159148156629265,-0.54476244047174,-1.80957817049145,0,54,"MYC"|"GADD45B"|"RAF1"|"ILK"|"CCND1"|"PIK3R1"|"MLH1"|"SOS1"|"GADD45A"|"MAPK1"|"GADD45G"|"AKT3"|"ELK1"|"DDB2"|"CTNNA1"|"AKT2"|"APC"|"AXIN1"|"FOXO3"|"ERBB2"|"AXIN2"|"TCF7L1"|"BAK1"|"BAX"|"PDPK1"
"KEGG_Breast_cancer%hsa05224",0.00174520069808028,0.0159148156629265,-0.468647111160766,-1.7753053714849,0,111,"FOS"|"MYC"|"JUN"|"GADD45B"|"RAF1"|"CCND1"|"JAG1"|"PIK3R1"|"DLL1"|"FZD4"|"DLL4"|"SOS1"|"GADD45A"|"MAPK1"|"GADD45G"|"FGFR1"|"CSNK1A1"|"HES1"|"FLT4"|"AKT3"|"LRP6"|"RPS6KB2"|"DDB2"|"AKT2"|"DVL1"|"APC"|"SHC2"|"FGF2"|"AXIN1"|"IGF1R"|"NOTCH1"|"ERBB2"|"AXIN2"|"CDK6"|"TCF7L1"|"FGF1"|"BAK1"|"BAX"
"KEGG_Gastric_cancer%hsa05226",0.00172711571675302,0.0159148156629265,-0.45440836963165,-1.71248030842208,0,106,"MYC"|"TGFBR2"|"GADD45B"|"RAF1"|"RXRB"|"CCND1"|"PIK3R1"|"TGFBR1"|"FZD4"|"MLH1"|"SOS1"|"GADD45A"|"MAPK1"|"GADD45G"|"CSNK1A1"|"AKT3"|"LRP6"|"RPS6KB2"|"DDB2"|"RXRA"|"CTNNA1"|"AKT2"|"DVL1"|"APC"|"SHC2"|"TGFB2"|"FGF2"|"AXIN1"|"CDKN1B"|"ERBB2"|"AXIN2"|"TCF7L1"|"FGF1"|"BAK1"|"BAX"|"SMAD2"|"MTOR"|"LRP5"|"CDK2"|"MAP2K2"|"SHC1"|"MAPK3"|"GAB1"|"FZD8"|"SMAD4"|"TCF7"|"FZD10"|"AKT1"|"SMAD3"|"SHC3"|"RPS6KB1"
"KEGG_Asthma%hsa05310",0.00246913580246914,0.0159148156629265,0.802604070252736,2.15418885303269,0,21,"FCER1G"|"CCL11"|"TNF"|"HLA-DRB5"|"RNASE3"|"HLA-DPA1"|"HLA-DQA1"|"HLA-DPB1"|"HLA-DRA"|"IL10"|"HLA-DQB1"|"HLA-DOB"
"KEGG_Autoimmune_thyroid_disease%hsa05320",0.00249376558603491,0.0159148156629265,0.688125206193491,1.98793626636042,0,29,"HLA-DRB5"|"HLA-A"|"HLA-B"|"HLA-C"|"HLA-DPA1"|"FAS"|"HLA-DQA1"|"CD80"|"CD86"|"HLA-DPB1"|"HLA-DRA"|"HLA-G"|"IL10"|"HLA-DQB1"|"HLA-DOB"
"KEGG_Inflammatory_bowel_disease%hsa05321",0.00245098039215686,0.0159148156629265,0.584783511468054,1.93389197330053,0,53,"IL2RG"|"TNF"|"STAT1"|"HLA-DRB5"|"STAT4"|"IL18RAP"|"TLR4"|"HLA-DPA1"|"IL1A"|"TLR2"|"HLA-DQA1"|"IL21R"|"IL1B"|"IL18"|"IL12RB2"|"HLA-DPB1"|"HLA-DRA"|"TGFB1"|"FOXP3"|"IL10"|"HLA-DQB1"|"IL23A"|"HLA-DOB"
"KEGG_Systemic_lupus_erythematosus%hsa05322",0.00244498777506113,0.0159148156629265,0.736494396117197,2.27621600372591,0,41,"TNF"|"C1QC"|"HLA-DRB5"|"TRIM21"|"FCGR2A"|"FCGR1A"|"C1QB"|"FCGR3B"|"FCGR3A"|"HLA-DPA1"|"C1S"|"HLA-DQA1"|"CD80"|"ACTN1"|"CD86"|"C2"|"HLA-DPB1"|"HLA-DRA"|"IL10"|"HLA-DQB1"|"HLA-DOB"
"KEGG_Rheumatoid_arthritis%hsa05323",0.00246913580246914,0.0159148156629265,0.490546226609224,1.7386606021112,0,78,"TNFSF13B"|"TNF"|"HLA-DRB5"|"CCL2"|"ATP6V0C"|"CXCL6"|"TLR4"|"HLA-DPA1"|"IL1A"|"CCL3"|"ATP6V1C1"|"TLR2"|"ATP6V1B2"|"HLA-DQA1"|"IL1B"|"CD80"|"IL11"|"IL18"|"CD86"|"HLA-DPB1"|"HLA-DRA"|"CCL5"|"TGFB1"|"ATP6V0E1"
"KEGG_Allograft_rejection%hsa05330",0.00251889168765743,0.0159148156629265,0.710603550249139,2.06179792983652,0,30,"TNF"|"HLA-DRB5"|"HLA-A"|"HLA-B"|"HLA-C"|"HLA-DPA1"|"FAS"|"HLA-DQA1"|"CD80"|"CD86"|"HLA-DPB1"|"HLA-DRA"|"HLA-G"|"IL10"|"HLA-DQB1"|"HLA-DOB"
"KEGG_Graft-versus-host_disease%hsa05332",0.00251889168765743,0.0159148156629265,0.735285939706261,2.13341324820676,0,30,"TNF"|"HLA-DRB5"|"HLA-A"|"HLA-B"|"HLA-C"|"HLA-DPA1"|"IL1A"|"FAS"|"HLA-DQA1"|"IL1B"|"CD80"|"CD86"|"HLA-DPB1"|"HLA-DRA"|"HLA-G"|"HLA-DQB1"|"HLA-DOB"
"KEGG_ErbB_signaling_pathway%hsa04012",0.00334448160535117,0.020661464139725,-0.485144648113318,-1.69871739308535,1,73,"MYC"|"JUN"|"STAT5A"|"RAF1"|"PIK3R1"|"SOS1"|"MAPK1"|"ABL2"|"ABL1"|"AKT3"|"PLCG1"|"CBLB"|"RPS6KB2"|"MAPK9"|"ELK1"|"MAP2K7"|"AKT2"|"CBL"|"SHC2"|"CDKN1B"|"EIF4EBP1"|"CRK"|"ERBB2"|"PLCG2"|"MTOR"|"PTK2"|"STAT5B"|"MAPK8"|"MAP2K2"|"SHC1"|"MAPK3"|"MAP2K4"|"CRKL"|"GAB1"|"PRKCA"|"AKT1"|"AREG"|"SHC3"|"RPS6KB1"|"NCK1"|"CDKN1A"
