GeneName,logFC,pval,padj
ETS1,0.07373,0.794718385,0.794718385
GFPT2,-0.70011,1.52E-11,1.52E-11
IL15RA,0.00069,0.998959702,0.998959702
IL3RA,0.45828,0,0
HK2,0.10047,0,0
MMP1,0.48135,0,0
SOD2,0.65104,8.79E-18,8.79E-18
OSMR,0.34184,0.000414947,0.000414947
SELPLG,0.87187,0,0
IL21R,-0.02925,0,0
MMP9,-0.16452,0,0
LCP1,-1.19834,0,0
CSF2,-0.02925,0,0
FLT3LG,-0.34496,0,0
LIFR,-0.11358,0.720102182,0.720102182
IL10RA,0.2158,0,0
SPRY2,0.39467,0.215550609,0.215550609
CTH,0.60105,0.235440594,0.235440594
DUOX1,0,0,0
ANKRD1,-1.27245,1.76E-08,1.76E-08
EDN2,-1.52798,0.000785592,0.000785592
PCK1,1.04444,0,0
SERPINB2,0,0,0
IRS2,0.74189,4.54E-07,4.54E-07
SPOCK2,0.72412,0.129494195,0.129494195
TNFSF14,1.70575,0,0
MAP3K8,1.95633,5.09E-86,5.09E-86
ZFP36,2.93298,0,0
NFIL3,2.36629,0,0
JUNB,3.44354,1.67E-206,1.67E-206
LTB,4.5765,3.31E-22,3.31E-22
FGG,2.17251,1.11E-54,1.11E-54
OXTR,-2.23128,0,0
TIMP2,-2.25846,4.34E-43,4.34E-43
SOX2,1.19718,0.00113291,0.00113291
FASN,-0.78475,1.03E-07,1.03E-07
KRT8,-0.08886,0.265247019,0.265247019
PADI2,-0.54744,0,0
RTN4RL1,-0.33777,0.375407146,0.375407146
KCNJ11,-0.10683,0.870275346,0.870275346
IL17RB,-0.1566,0,0
IFI16,0.51611,0.255826464,0.255826464
NLRP3,0,0,0
IFIH1,0.72375,0,0
DDX60,0.86128,0.111730321,0.111730321
HERC5,0.24095,0.653878548,0.653878548
DDX58,-0.37828,0.047474009,0.047474009
DHX58,0.34917,0,0
PARP9,0.54091,0.071652477,0.071652477
DTX3L,0.27263,0.205757162,0.205757162
IFIT5,0.3982,0.124772386,0.124772386
NLRC5,0.03731,0.942962379,0.942962379
ZC3HAV1,-0.20939,0.080117837,0.080117837
APOBEC3G,-0.02925,0,0
PTX3,2.08641,0,0
NLRP1,-0.67822,0,0
TLR6,-0.0998,0.670042354,0.670042354
C3,1.89288,2.78E-81,2.78E-81
C5,0.77533,4.95E-11,4.95E-11
RAET1L,-0.09136,0,0
APOL1,0.60053,0.004858645,0.004858645
SERPING1,-0.04114,0,0
PARP14,-0.06084,0.814676501,0.814676501
ZBP1,0,0,0
TRIM14,-0.56031,0.017514941,0.017514941
C1R,2.21602,2.23E-35,2.23E-35
CFB,1.87344,1.30E-09,1.30E-09
C1S,1.54545,6.61E-25,6.61E-25
NCF2,-0.05665,0,0
RAET1E,-0.72321,0,0
ULBP2,0.25591,0,0
CD55,0.29046,0.143278816,0.143278816
ARG2,0.5856,0,0
MICB,-0.45694,0.0048889,0.0048889
TREM1,0,0,0
ULBP1,-0.53477,0,0
CLEC4E,1.18108,0,0
PGLYRP2,0.51314,0,0
STYK1,0.12941,0,0
NCF1,0.65352,0,0
PRDM1,1.38546,7.09E-06,7.09E-06
CD300LB,2.61906,2.09E-06,2.09E-06
FGA,2.31214,1.03E-72,1.03E-72
HIST2H2BE,3.32951,0,0
IFI44,0.63133,0,0
IFI44L,0,0,0
PMAIP1,1.41471,2.45E-19,2.45E-19
RTP4,0,0,0
DCLK1,-1.09646,0.009409464,0.009409464
CYP1A1,1.03126,0,0
BCL3,2.80835,1.09E-54,1.09E-54
IDO1,0,0,0
TNFAIP3,3.35852,6.67E-131,6.67E-131
APOL3,0.44103,0,0
THEMIS2,-0.23077,0,0
RASGRP1,1.41168,0.000878521,0.000878521
BMP2,0.83185,0.027033293,0.027033293
SAA2,2.64178,0,0
PLA2G4C,-0.24897,0.34429022,0.34429022
SEMA7A,-0.2524,0,0
TNIP3,-0.14345,0,0
HRH1,0.8931,0.009514044,0.009514044
OLR1,0.74163,0,0
EMR2,0.10046,0,0
CHST2,1.92283,6.66E-06,6.66E-06
APOL2,-0.03791,0.826829411,0.826829411
BDKRB2,1.02834,0,0
SAA4,-0.02925,0,0
FFAR2,-0.22355,0,0
AOC3,1.87234,9.67E-08,9.67E-08
CYP26B1,0.43122,0.00762098,0.00762098
SERPINC1,0.19546,0,0
SERPINF2,-0.23582,0.585386191,0.585386191
NFKBIZ,3.38469,6.45E-62,6.45E-62
KDM6B,2.89239,1.15E-64,1.15E-64
HDAC9,1.97254,7.09E-15,7.09E-15
NFKBID,2.69183,0,0
NUPR1,-0.1969,0.652780835,0.652780835
CMPK2,1.81742,0,0
BATF2,-0.27113,0,0
CH25H,-0.22262,0,0
IL8,6.53875,0,0
ATF3,2.42146,0,0
PPP1R15A,3.12247,0,0
ARRDC3,3.43234,2.33E-176,2.33E-176
FOSB,3.73129,1.36E-38,1.36E-38
SAMD9L,1.13448,0,0
APOL6,0.53084,0.119300582,0.119300582
TNFSF10,-0.17953,0,0
PPM1K,0.91524,0,0
PARP10,0.70402,0.196798816,0.196798816
UBA7,-0.38273,0,0
SP140L,-0.28749,0.436331204,0.436331204
PLEKHA4,-0.17239,0,0
HCAR2,-0.8355,0,0
ZBTB32,-0.04114,0,0
KRT17,-0.35998,0,0
SAMD9,0.88888,0.004935894,0.004935894
HERC6,0.14529,0.764414961,0.764414961
RUFY4,0,0,0
PLAUR,0.22231,0.497614178,0.497614178
PDCD1LG2,0,0,0
TRANK1,0.9038,1.44E-07,1.44E-07
HELZ2,0.73368,0.098252504,0.098252504
LRRN3,-0.02925,0,0
NT5C3,0.29079,0.249477389,0.249477389
SP110,0.14174,0.772348637,0.772348637
LMO2,0,0,0
GBP1P1,0,0,0
GIMAP2,1.02763,0,0
ZNFX1,0.60513,1.69E-05,1.69E-05
PARP12,0.4113,0.15514545,0.15514545
UBE2L6,0.75554,1.02E-05,1.02E-05
LOC100507463,0.55564,0,0
OTUD1,0.63008,0.253664617,0.253664617
TAP1,-0.08241,0.606114116,0.606114116
C5orf56,-0.33439,0,0
TMEM140,-0.00597,0.992938133,0.992938133
DDX60L,-0.31519,0.127374535,0.127374535
SLC15A3,0,0,0
EPSTI1,-0.10689,0,0
ETV7,0.25424,0,0
RASGRP3,-1.26619,0.000848804,0.000848804
SCN3A,0.80751,0,0
USP18,0.31617,0.492352799,0.492352799
PDZD2,0.31719,0,0
RGAG1,0.08909,0,0
LGALS17A,0,0,0
ATP4A,0,0,0
RET,-0.4496,0,0
SEMA3D,0.81478,0,0
TGM2,1.48568,1.05E-43,1.05E-43
ERAP2,0.39045,0.42677814,0.42677814
PIK3AP1,0.28411,0,0
TAP2,0.12445,0.602283315,0.602283315
BTN3A3,0.23494,0.669811656,0.669811656
LAP3,-0.20108,0.396540509,0.396540509
ACTN2,0.38762,0,0
USP30-AS1,0,0,0
PTGER4,0.11355,0.841994999,0.841994999
TDRD7,-0.54178,0.009641993,0.009641993
WARS,-0.76458,1.28E-13,1.28E-13
SIDT1,0.01434,0,0
GMPR,-0.17307,0,0
TMEM27,-1.29274,0.000659406,0.000659406
MXD1,1.57492,2.14E-42,2.14E-42
RUNX2,0.96436,0,0
CREB5,0.75537,0.186489049,0.186489049
STX11,1.13027,0,0
TIPARP,1.519,3.08E-24,3.08E-24
GADD45A,1.07335,1.08E-24,1.08E-24
TRIM36,1.18217,0,0
SLC16A6,1.4919,0.001284908,0.001284908
DNAH17,1.6135,2.46E-05,2.46E-05
CREBRF,2.32884,6.73E-25,6.73E-25
ZEB2,1.76353,3.30E-06,3.30E-06
JHDM1D,1.72692,7.15E-14,7.15E-14
B3GNT5,1.47682,6.58E-13,6.58E-13
ZC3H12C,1.31792,1.96E-07,1.96E-07
C6orf58,1.54649,0,0
KLF9,1.21996,1.15E-05,1.15E-05
IGFBP1,2.07402,4.65E-29,4.65E-29
LOC100126784,0.30842,0,0
HBEGF,-0.21698,0.612897102,0.612897102
NAV3,-0.10732,0.686481428,0.686481428
SAMD4A,-0.37885,0.033840194,0.033840194
ABCA1,-0.43412,0.007829827,0.007829827
STC2,-0.03013,0.887686747,0.887686747
ADM2,1.27293,0,0
FAM129A,0.59446,0,0
MMP10,0.2877,0,0
SLFN5,-0.02838,0.92444613,0.92444613
HMGN2P46,-0.56684,0,0
SERPINB7,-0.53895,0,0
BMPER,0.12134,0,0
BCAT1,-0.58327,0.015860968,0.015860968
MTHFD2,-0.08349,0.512452303,0.512452303
ATP6V1C2,-0.25054,0,0
TMEM156,-0.11551,0.562964058,0.562964058
C15orf48,-0.66308,0,0
RPS6KA2,0.05011,0,0
HSD11B1,0,0,0
SERPINB4,0.89207,0,0
ZMIZ1-AS1,0.75045,0,0
SLC6A15,1.43931,5.88E-07,5.88E-07
ECM2,0.81617,0,0
PCDH1,0.41934,0,0
C12orf39,0.87708,0.002757448,0.002757448
EXPH5,0.17271,0,0
SERPINB3,0.49776,0,0
GREM1,0.36012,0.526595568,0.526595568
TM6SF1,0,0,0
SCG5,-0.75653,0,0
RASGRP2,-0.23062,0,0
BEX2,-0.16155,0,0
THEG,0.08306,0,0
SDR16C5,0.0322,0,0
TSC22D3,-0.04948,0.89113429,0.89113429
SCN4A,0.25952,0,0
GAS5,0.40544,0.000891326,0.000891326
ZFAS1,0.08195,0.678679881,0.678679881
C6orf48,0.2369,0.044797941,0.044797941
RAB39B,0.69522,0,0
LAMC2,-1.83734,1.03E-31,1.03E-31
HCAR3,-1.06955,0,0
STC1,-0.27679,0.28337634,0.28337634
GLIPR1,-0.76416,1.36E-05,1.36E-05
TNC,-1.69412,1.13E-08,1.13E-08
CDCP1,-0.27589,0.163287913,0.163287913
CCBE1,-1.05981,0,0
NT5E,-0.76865,2.72E-06,2.72E-06
CTSS,-0.63624,0.002319005,0.002319005
CD68,-1.00376,7.81E-11,7.81E-11
NFE2L3,-1.14027,0.003276645,0.003276645
TMEM154,-0.07346,0,0
PARP8,0.33633,0,0
MAP2,0.36553,0.539142954,0.539142954
AIM1,0.70859,0,0
CLMP,0.70382,0,0
RASGRF2,0.18435,0,0
AOX1,-0.09844,0.875941996,0.875941996
PODXL,-0.68038,0.002100474,0.002100474
XDH,-0.80462,0.001369134,0.001369134
CHST11,0.01211,0.955107205,0.955107205
ARNTL2,-0.48016,0,0
SERPINB8,0.15262,0.731812122,0.731812122
LOC100287314,-0.43873,0.363447212,0.363447212
CORO2B,-0.51973,0,0
SERPINE2,-0.60367,1.15E-06,1.15E-06
KCNQ3,0.43587,0,0
ANTXR2,0.47145,0,0
CDH3,0.53652,0,0
COL13A1,-0.06419,0,0
IGFN1,0.31947,0,0
SBSN,0.25775,0,0
UCA1,-0.38777,0,0
SDC4,0.85768,9.29E-14,9.29E-14
PLAU,0.04685,0.699752147,0.699752147
MCTP1,0.61596,0.090053668,0.090053668
LACC1,1.01348,4.27E-09,4.27E-09
FSTL1,0.54124,0.003621718,0.003621718
CA13,0.78069,0.036425286,0.036425286
ZNF697,0.46261,0.283855599,0.283855599
MYH16,0.26089,0,0
SH2B3,0.32671,0.504697952,0.504697952
VDR,1.22197,0.006532707,0.006532707
NRIP3,0.17813,0,0
ST3GAL1,-0.09488,0.663506074,0.663506074
GK,0.02,0,0
FBXO32,-0.1159,0.822150481,0.822150481
FAM43A,-0.2001,0.721117764,0.721117764
STRIP2,1.79503,4.15E-19,4.15E-19
ADAM19,1.19628,4.80E-05,4.80E-05
FOXQ1,0.95936,0.001568338,0.001568338
MREG,0.64433,0.060243937,0.060243937
PITPNC1,0.24921,0.619038162,0.619038162
KLK10,0.57747,0,0
PLOD2,-0.21853,0.150541684,0.150541684
SPOCK1,-0.28801,0.647308338,0.647308338
P4HA1,-0.01017,0.97246716,0.97246716
LAMA4,-0.10689,0,0
TMEM158,-0.30518,0.59307257,0.59307257
EFNB2,0.45697,0.378826057,0.378826057
ID4,1.49524,0,0
RGS2,0.7214,0.001271533,0.001271533
SORBS1,-0.48629,0.393892264,0.393892264
COL17A1,-1.07926,0.003502882,0.003502882
RFPL2,-0.11963,0,0
HAS3,0.38833,0.056042726,0.056042726
ENTPD7,0.26628,0.285849334,0.285849334
ANPEP,-1.00597,0,0
NID2,-1.54394,0.000267716,0.000267716
DSEL,-0.37691,0,0
GCKR,-0.00451,0,0
TMCC3,-0.31346,0,0
PTPRH,-0.78852,0.001218906,0.001218906
HSPB8,-0.60348,0.000964234,0.000964234
AGPAT9,-0.05813,0.847746903,0.847746903
KIAA1217,-0.26494,0.173834649,0.173834649
LDLR,-0.22831,0.161281238,0.161281238
LIPG,-0.60146,0,0
TFPI2,-0.38925,0.018887428,0.018887428
CRISPLD2,-0.54105,0.145754785,0.145754785
ITGB3,-0.3024,0,0
AMPD3,-0.58293,0,0
PTPRE,-0.57159,0,0
CPM,-2.02829,5.63E-21,5.63E-21
ITGA5,-0.75121,1.64E-05,1.64E-05
NIPAL1,-0.86595,0,0
EMP1,-1.28116,0.001234828,0.001234828
P4HA2,-1.28013,2.03E-19,2.03E-19
CRTAC1,0.19236,0,0
COL15A1,0.22411,0,0
BIK,-0.15418,0,0
GIPR,-0.49312,0,0
SORCS2,-0.87775,0.054116063,0.054116063
SPOCD1,-1.26021,0.012821376,0.012821376
CD82,-1.27955,6.22E-05,6.22E-05
FAM115C,-0.29551,0,0
LY6K,-0.47057,0,0
GALNT12,-0.41732,0.433205376,0.433205376
CDK5R2,-0.81262,0,0
TRAF1,0.4435,0.132560776,0.132560776
BCL2A1,0.2305,0.626312359,0.626312359
INHBA,0.79529,0,0
DUSP1,0.5734,5.29E-07,5.29E-07
SERPINE1,-1.18184,1.23E-47,1.23E-47
ALDH1L2,-2.05182,4.96E-06,4.96E-06
FSD1L,1.24932,8.74E-05,8.74E-05
XKR9,1.37817,0,0
ANKRD33B,0.77924,7.63E-10,7.63E-10
AMOTL2,0.29455,0.025958683,0.025958683
KIF21B,0.37862,0.447022542,0.447022542
C8orf4,1.01741,9.23E-15,9.23E-15
CYP1B1,0.84406,4.06E-07,4.06E-07
UBASH3A,1.02589,0,0
TNFAIP2,0.52792,1.28E-07,1.28E-07
EGOT,0.14128,0,0
LST1,0.28917,0,0
FGF19,-0.93246,0,0
KLHDC7B,-0.13368,0,0
BEST1,-0.24639,0,0
CHAC1,-0.57782,0.147797688,0.147797688
BACH2,-0.26244,0,0
G0S2,-0.51542,0,0
C1QTNF1,0.34422,0.029903697,0.029903697
TXNIP,1.4222,0.000581326,0.000581326
INHBE,0.06441,0,0
ROCK1P1,0.57912,0,0
ASNS,-0.04394,0.8508312,0.8508312
FLJ35024,0.20567,0,0
FUT1,0.41531,0,0
N4BP3,1.62907,0.000356616,0.000356616
ANK2,-0.01617,0,0
RBMS3,-0.12451,0,0
PGM5P2,-0.04112,0,0
ARRDC4,1.13578,0.010529273,0.010529273
ZMAT1,0.87643,0,0
LOC100506801,0.15438,0,0
NDUFA4L2,-0.97069,0,0
PCK2,-0.16534,0.668940942,0.668940942
KLF6,0.4345,0.008052593,0.008052593
NCOA7,0.7827,0.000250971,0.000250971
XRN1,0.91007,4.58E-05,4.58E-05
PHLDB2,0.16774,0.273521529,0.273521529
SYT1,0.15893,0.300569276,0.300569276
NEDD4,0.21373,0.029085462,0.029085462
RBM43,0.29676,0.567025303,0.567025303
DDO,-0.09822,0,0
PHF11,0.09126,0.871401521,0.871401521
AKAP12,-0.39712,0.000832177,0.000832177
SERPINB9,-0.10306,0.605544107,0.605544107
MARCH4,-0.69585,0.017288391,0.017288391
NAV2,-0.43081,0.091377759,0.091377759
CYTH4,-0.74332,0,0
FAP,0,0,0
ADRB2,-0.1408,0,0
CTGF,-0.22788,0.371899988,0.371899988
C10orf10,-0.02858,0.958885913,0.958885913
ICAM4,0.34654,0,0
COL4A1,-1.57409,1.15E-33,1.15E-33
PLAT,-0.78772,0,0
CCRL1,-0.04114,0,0
PLEKHG7,-0.10689,0,0
NAPSB,-0.02925,0,0
RNF213,0.2738,0.000539518,0.000539518
MMP13,-0.04114,0,0
PLA1A,0.11522,0,0
HRASLS2,-0.09186,0,0
ADAMTS6,-0.35917,0,0
SEMA3A,-0.56524,0.008392265,0.008392265
HDX,0.59302,0.136692912,0.136692912
SP8,0.59696,0,0
MB21D2,0.88218,0.001023849,0.001023849
DAPP1,0.27945,0,0
UBQLNL,0.12831,0,0
PTGER2,0.0347,0,0
NUAK2,0.59705,0.000108836,0.000108836
MIR155HG,0,0,0
DUOXA2,0,0,0
IKZF3,0.38762,0,0
WFDC5,0,0,0
LOC554223,-0.16301,0,0
CD69,0,0,0
HLA-J,0.45828,0,0
HSH2D,0.2191,0,0
BAHCC1,0.2097,0.487172958,0.487172958
SLC5A5,0.9941,0,0
NEAT1,1.7192,0,0
ZBTB20,1.36037,0,0
HIST1H1D,1.94506,0,0
LOC286059,1.85672,0,0
RND1,0.58222,0.022716392,0.022716392
FAM46A,1.18867,1.72E-18,1.72E-18
DEPDC7,1.19101,1.75E-07,1.75E-07
APOL4,-0.13368,0,0
BCL2L14,0,0,0
FUT3,0.18994,0,0
LOC151475,0,0,0
TAGAP,0,0,0
LHB,0,0,0
PKP1,-0.02925,0,0
TRPC4,0,0,0
RBM11,0,0,0
LRP2,0.13675,0,0
LAMA2,-0.0137,0,0
KRTAP2-3,-0.05306,0,0
MUC4,-0.31299,0,0
C1orf168,0,0,0
ZNF442,0,0,0
CNTN4,0,0,0
NR1I2,-0.4887,0,0
PA2G4P4,0.10417,0,0
IGF2-AS,0,0,0
HAND1,0.2877,0,0
KIF6,0,0,0
SDPR,-0.3917,0.053788277,0.053788277
SDS,-0.37887,0,0
SYNPO2,0.27064,0.180916056,0.180916056
KCNV1,-0.3181,0.394092717,0.394092717
GBX2,-0.23861,0,0
RASGEF1B,0.58209,0,0
SERPINA10,0.60668,0,0
NPR1,-0.85874,0.068050358,0.068050358
HSPA6,1.38267,9.12E-05,9.12E-05
HSPA7,0,0,0
DNAJA4,0,0,0
LOC100128239,-0.04114,0,0
LCN10,0,0,0
DNAJB1,-0.28859,0.003525121,0.003525121
RAPSN,-0.02066,0,0
PARD6G-AS1,-0.32079,0,0
DHDH,-0.01935,0,0
HSPA1B,-0.05984,0.640576539,0.640576539
HSPA1A,-0.6081,4.30E-06,4.30E-06
ALOXE3,0.35781,0,0
SLC8A2,-0.11093,0,0
SLC6A12,0.17029,0,0
HIVEP3,-0.18615,0,0
SLC6A13,0.56371,0,0
IDI2-AS1,0.28719,0,0
PNLDC1,0.32082,0,0
CDRT1,-0.73242,0.000814741,0.000814741
TG,0.50283,0,0
PGF,0.70444,0.101450952,0.101450952
BAG3,0.00774,0.97553035,0.97553035
PRKXP1,2.93096,3.50E-17,3.50E-17
LOC100130705,1.55964,0,0
RAET1K,0.9397,0,0
KIAA1045,0.25952,0,0
XIRP1,0,0,0
OIT3,0.03205,0,0
DNAH12,0.35291,0,0
SLC22A14,0.34131,0,0
TUSC5,0,0,0
VHLL,-0.14267,0,0
PROZ,0.17119,0,0
LINC00426,0,0,0
AXDND1,-0.23077,0,0
NAALAD2,-0.02925,0,0
CCDC62,-0.37647,0,0
CHD5,0.12863,0,0
FAM71F1,-0.2754,0,0
SLC22A1,0.07275,0,0
C9orf24,-0.52803,0,0
AOC2,1.12985,0.000170466,0.000170466
FBXL14,0.81074,0.027570732,0.027570732
SNORD48,0.41122,0,0
RSPH4A,0.26287,0,0
FHDC1,0.26107,0,0
C1orf162,0.11104,0,0
TRIML2,-0.35087,0.050791116,0.050791116
EPPK1,-0.23559,0.666572542,0.666572542
RBFOX3,-0.13538,0.724111855,0.724111855
MFSD2B,-0.12957,0,0
RAB17,0.08268,0,0
PYGM,0.82192,0,0
FERMT3,0.73038,0.222894583,0.222894583
ZC3H12D,0.47858,0,0
UCP3,0.37472,0.4660823,0.4660823
CLEC18B,-0.20026,0,0
MYO7A,-0.33795,0.333986497,0.333986497
NPPA-AS1,0.06699,0,0
DGCR9,0.00333,0,0
SSUH2,-0.70362,0,0
MUC13,-0.32631,0.154691592,0.154691592
SPDYA,0.60449,0,0
ITGA2B,0.42946,0,0
COL26A1,0.18472,0,0
COL21A1,-0.51936,0,0
CACNA1G,0.04452,0.882099537,0.882099537
SLC5A11,-0.85713,0.038891055,0.038891055
LOC100130238,-0.84607,0,0
C11orf96,4.52817,3.34E-24,3.34E-24
MAFF,3.62915,3.00E-104,3.00E-104
BHLHE41,4.62836,9.29E-56,9.29E-56
DDIT3,3.4995,2.12E-168,2.12E-168
ACAN,3.78365,1.18E-14,1.18E-14
EGR3,2.82923,0,0
ACHE,2.93651,4.80E-34,4.80E-34
POU2F2,1.80403,0,0
ZBTB43,2.16043,1.15E-74,1.15E-74
SERTAD2,2.09382,5.90E-41,5.90E-41
IER3,2.55713,0,0
CSRNP1,2.30845,0,0
IER5,2.30026,1.77E-162,1.77E-162
GRHL1,2.30915,8.36E-10,8.36E-10
DCAF4L1,2.22627,0,0
CD83,2.10014,2.27E-10,2.27E-10
AURKAPS1,2.03523,4.68E-10,4.68E-10
C1orf51,2.18604,0,0
FGF18,2.40222,0,0
CCRN4L,1.55688,2.20E-13,2.20E-13
HIVEP2,1.60194,1.98E-19,1.98E-19
KLF10,2.30118,0,0
NR4A3,3.55655,7.32E-16,7.32E-16
PDE4B,1.49625,1.36E-17,1.36E-17
PPP4R4,3.71219,0,0
EGR2,4.36944,2.56E-32,2.56E-32
ZBTB10,2.95734,6.61E-45,6.61E-45
NEURL3,2.67496,2.21E-17,2.21E-17
BBC3,2.64167,4.10E-70,4.10E-70
MIR3191,3.77886,4.06E-23,4.06E-23
EFNA1,3.74439,0,0
ICAM5,3.36528,4.43E-25,4.43E-25
FOXN2,2.09001,2.54E-63,2.54E-63
ZNF267,2.01962,0,0
CLK1,2.37601,1.48E-79,1.48E-79
INO80D,2.10892,2.33E-39,2.33E-39
ZBTB21,2.02354,2.00E-44,2.00E-44
ZNF654,2.12211,6.43E-35,6.43E-35
SIX4,2.40796,5.87E-17,5.87E-17
RLF,2.10075,2.97E-41,2.97E-41
ZNF292,2.09069,9.73E-39,9.73E-39
FRS2,2.16852,2.13E-71,2.13E-71
CCNL1,2.80473,5.31E-200,5.31E-200
SLCO5A1,2.66738,0,0
FST,2.47053,1.01E-22,1.01E-22
PRG4,2.26676,0,0
PPM1E,2.94368,0,0
MIR3685,2.38904,0,0
CD200R1,2.7844,5.59E-10,5.59E-10
ZNF77,3.2918,1.85E-31,1.85E-31
CEP85L,2.37296,6.88E-30,6.88E-30
ZBTB6,2.49133,5.23E-54,5.23E-54
PLEKHF2,2.25877,6.29E-34,6.29E-34
ZNF555,2.15553,3.16E-10,3.16E-10
HNRNPU-AS1,2.09224,1.01E-31,1.01E-31
ZNF121,2.1843,2.14E-11,2.14E-11
ZNF436,2.23294,5.18E-52,5.18E-52
PCF11,2.21303,3.85E-104,3.85E-104
ZNF211,2.07352,0,0
ZNF57,2.8783,1.28E-27,1.28E-27
ZNF184,2.53231,3.69E-14,3.69E-14
ZNF596,3.01833,2.62E-29,2.62E-29
SNORA25,2.11878,0,0
MALAT1,2.03802,0,0
SNORA48,2.89982,3.19E-11,3.19E-11
LOC100216546,3.00198,2.96E-27,2.96E-27
MAST4,1.57582,3.99E-14,3.99E-14
LOC387895,2.04378,0,0
CLUHP3,2.41385,2.20E-15,2.20E-15
ARHGAP30,2.11881,5.37E-08,5.37E-08
SNIP1,2.15434,2.50E-25,2.50E-25
C5orf51,2.15323,1.04E-28,1.04E-28
ZNF830,2.1239,3.00E-22,3.00E-22
NBEAP1,2.6395,2.10E-09,2.10E-09
NR1D1,4.00546,1.89E-70,1.89E-70
